iter	Passed	Remaining
0	162	162225
1	163	81580
2	164	54753
3	166	41362
4	167	33279
5	168	27881
6	169	24017
7	170	21130
8	171	18883
9	172	17081
10	173	15605
11	174	14372
12	175	13325
13	176	12437
14	177	11661
15	178	10983
16	179	10392
17	180	9874
18	182	9411
19	183	8986
20	184	8601
21	185	8250
22	186	7926
23	187	7629
24	188	7361
25	189	7108
26	190	6873
27	192	6666
28	193	6470
29	194	6281
30	195	6105
31	196	5940
32	197	5783
33	198	5633
34	199	5493
35	200	5367
36	201	5243
37	202	5129
38	203	5016
39	204	4909
40	205	4806
41	206	4713
42	207	4624
43	208	4539
44	209	4454
45	210	4373
46	211	4296
47	212	4223
48	213	4152
49	214	4083
50	215	4017
51	216	3952
52	217	3889
53	218	3829
54	219	3772
55	220	3717
56	221	3664
57	222	3612
58	223	3563
59	224	3515
60	225	3469
61	226	3426
62	227	3383
63	228	3340
64	229	3300
65	230	3261
66	231	3223
67	232	3187
68	233	3153
69	234	3118
70	235	3085
71	236	3054
72	238	3023
73	239	2994
74	240	2964
75	241	2934
76	242	2904
77	243	2875
78	244	2846
79	245	2818
80	246	2794
81	247	2768
82	247	2738
83	248	2714
84	249	2690
85	251	2672
86	252	2652
87	253	2630
88	254	2607
89	255	2587
90	257	2567
91	257	2545
92	259	2526
93	260	2507
94	261	2488
95	262	2469
96	263	2450
97	264	2432
98	265	2416
99	266	2399
100	267	2381
101	268	2365
102	269	2349
103	270	2333
104	271	2318
105	273	2302
106	274	2287
107	275	2272
108	276	2258
109	277	2244
110	278	2229
111	279	2217
112	280	2204
113	282	2192
114	283	2179
115	284	2166
116	285	2153
117	286	2141
118	287	2130
119	288	2118
120	290	2108
121	291	2095
122	292	2085
123	293	2074
124	294	2063
125	295	2053
126	296	2040
127	298	2030
128	299	2019
129	300	2009
130	301	1998
131	302	1988
132	303	1978
133	304	1968
134	305	1958
135	306	1947
136	307	1938
137	308	1928
138	309	1918
139	310	1909
140	311	1900
141	312	1889
142	313	1881
143	315	1872
144	316	1863
145	317	1855
146	318	1846
147	319	1837
148	320	1829
149	321	1821
150	322	1813
151	323	1805
152	324	1799
153	326	1791
154	327	1783
155	328	1776
156	329	1768
157	330	1760
158	331	1753
159	332	1746
160	333	1737
161	334	1730
162	335	1722
163	336	1715
164	337	1707
165	338	1700
166	339	1694
167	340	1687
168	341	1680
169	342	1674
170	343	1667
171	344	1660
172	346	1654
173	347	1647
174	348	1640
175	349	1634
176	350	1628
177	351	1621
178	352	1616
179	353	1610
180	354	1604
181	355	1598
